INSTNM,CITY,STABBR,CONTROL,REGION,ADM_RATE,SAT_AVG,PCTPELL,C150_4,RET_FT4,PCTFLOAN,DEBT_MDN,LOAN_EVER,MD_FAMINC,MD_EARN,LOCALE,CCBASIC,CCUGPROF,CCSIZSET,COSTT4,cost_to_earnings,SIZE,SETTING,FTIME,SEL,TRNS
Augsburg University,Minneapolis,MN,Private nonprofit,Plains,0.5161,1034.0,0.2369,0.5928,0.8049,0.7166,14000.0,0.9580052493,50997.5,44300.0,City: Large,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","small, primarily residential",35924.0,0.8109255079006772,small,primarily residential,full-time,inclusive,higher transfer-in
Bemidji State University,Bemidji,MN,Public,Plains,0.8062,1010.0,0.2637,0.4881,0.7173,0.5371,7782.0,0.9229256783,47692.0,38300.0,Town: Remote,Master's Colleges & Universities: Small Programs,"medium full-time, inclusive, higher transfer-in","medium, primarily residential",15780.0,0.41201044386422975,medium,primarily residential,medium full-time,inclusive,higher transfer-in
Bethany Lutheran College,Mankato,MN,Private nonprofit,Plains,0.8253,1050.0,0.2959,0.5217,0.7293,0.7724,12625.0,0.9626666667,59881.0,36200.0,City: Small,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","very small, highly residential",26658.0,0.7364088397790055,very small,highly residential,full-time,selective,lower transfer-in
Bethel University,Saint Paul,MN,Private nonprofit,Plains,0.7804,1131.0,0.1902,0.7232,0.8483,0.6444,14467.0,0.9619852165,68324.0,44300.0,Suburb: Large,Doctoral/Professional Universities,"full-time, selective, lower transfer-in","small, highly residential",36071.0,0.8142437923250564,small,highly residential,full-time,selective,lower transfer-in
Carleton College,Northfield,MN,Private nonprofit,Plains,0.305,1396.0,0.112,0.918,0.9693,0.471,12876.5,0.8779443255,78137.0,46400.0,Town: Distant,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, more selective, lower transfer-in","small, highly residential",50000.0,1.0775862068965518,small,highly residential,full-time,more selective,lower transfer-in
Concordia College at Moorhead,Moorhead,MN,Private nonprofit,Plains,0.7906,1149.0,0.1865,0.6609,0.8351,0.7263,18375.0,0.9775617053,76056.0,44100.0,Suburb: Midsize,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",32540.0,0.7378684807256236,small,highly residential,full-time,selective,lower transfer-in
Concordia University-Saint Paul,Saint Paul,MN,Private nonprofit,Plains,0.5615,994.0,0.2555,0.503,0.7204,0.6541,13178.0,0.9550342131,44733.0,46200.0,City: Large,Master's Colleges & Universities: Larger Programs,"medium full-time, selective, higher transfer-in","medium, primarily nonresidential",33448.0,0.723982683982684,medium,primarily nonresidential,medium full-time,selective,higher transfer-in
Martin Luther College,New Ulm,MN,Private nonprofit,Plains,0.9812,1125.0,0.2526,0.7059,0.8497,0.541,8500.0,0.9009287926,54095.0,36900.0,Town: Distant,Special Focus Four-Year: Other Special Focus Institutions,"full-time, selective, lower transfer-in","very small, highly residential",17970.0,0.4869918699186992,very small,highly residential,full-time,selective,lower transfer-in
Gustavus Adolphus College,Saint Peter,MN,Private nonprofit,Plains,0.7353,1212.0,0.1634,0.8523,0.9104,0.6688,19125.0,0.9765853659,77500.0,50300.0,Town: Fringe,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",39760.0,0.7904572564612325,small,highly residential,full-time,selective,lower transfer-in
Hamline University,Saint Paul,MN,Private nonprofit,Plains,0.7523,1105.0,0.2411,0.6578,0.7906,0.6644,12000.0,0.9719703215,55908.0,46100.0,City: Large,Master's Colleges & Universities: Larger Programs,"full-time, selective, higher transfer-in","small, primarily residential",37204.0,0.8070281995661606,small,primarily residential,full-time,selective,higher transfer-in
Macalester College,Saint Paul,MN,Private nonprofit,Plains,0.462,1366.0,0.1121,0.8596,0.9435,0.5053,16547.5,0.9762282092,82799.0,44500.0,City: Large,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, more selective, lower transfer-in","small, highly residential",46730.0,1.0501123595505617,small,highly residential,full-time,more selective,lower transfer-in
Minnesota State University-Mankato,Mankato,MN,Public,Plains,0.8859,1030.0,0.2089,0.5167,0.7652,0.6434,10016.0,0.9517335146,63943.5,43000.0,City: Small,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","large, primarily nonresidential",15002.0,0.34888372093023257,large,primarily nonresidential,full-time,inclusive,higher transfer-in
Metropolitan State University,Saint Paul,MN,Public,Plains,1.0,,0.2565,0.1364,0.5893,0.4467,10500.0,0.8764437282,29566.0,44200.0,City: Large,Master's Colleges & Universities: Medium Programs,higher part-time,"medium, primarily nonresidential",13492.0,0.30524886877828056,medium,primarily nonresidential,higher part-time,,
University of Minnesota-Twin Cities,Minneapolis,MN,Public,Plains,0.5001,1211.0,0.1715,0.6824,0.9044,0.4502,12000.0,0.9322680078,64209.0,47900.0,City: Large,Doctoral Universities: Very High Research Activity,"full-time, more selective, higher transfer-in","large, primarily nonresidential",20526.0,0.42851774530271397,large,primarily nonresidential,full-time,more selective,higher transfer-in
University of Minnesota-Crookston,Crookston,MN,Public,Plains,0.8257,1008.0,0.1537,0.3909,0.653,0.3151,9000.0,0.9043173862,49028.0,39400.0,Town: Distant,Baccalaureate Colleges: Diverse Fields,"medium full-time, selective, higher transfer-in","small, primarily residential",17380.0,0.44111675126903555,small,primarily residential,medium full-time,selective,higher transfer-in
Minneapolis College of Art and Design,Minneapolis,MN,Private nonprofit,Plains,0.6672,1078.0,0.2655,0.7265,0.7864,0.7566,15750.0,,58591.0,34900.0,City: Large,"Special Focus Four-Year: Arts, Music & Design Schools","full-time, more selective, higher transfer-in","very small, primarily residential",39306.0,1.126246418338109,very small,primarily residential,full-time,more selective,higher transfer-in
Herzing University-Minneapolis,St. Louis Park,MN,Private for-profit,Plains,1.0,,0.46,0.5882,0.6667,0.8333,10554.0,0.9724770642,26042.5,43300.0,Suburb: Large,Special Focus Four-Year: Other Health Professions Schools,higher part-time,"very small, primarily nonresidential",24118.0,0.5569976905311779,very small,primarily nonresidential,higher part-time,,
University of Minnesota-Duluth,Duluth,MN,Public,Plains,0.7143,1090.0,0.1663,0.5165,0.7575,0.5477,11000.0,0.9530096218,74449.0,45300.0,City: Small,Master's Colleges & Universities: Larger Programs,"full-time, selective, lower transfer-in","medium, primarily residential",19952.0,0.44044150110375274,medium,primarily residential,full-time,selective,lower transfer-in
University of Minnesota-Morris,Morris,MN,Public,Plains,0.7469,1152.0,0.2558,0.5947,0.8552,0.5445,11611.0,0.9168765743,61475.0,40100.0,Town: Remote,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",18801.0,0.46885286783042396,small,highly residential,full-time,selective,lower transfer-in
Minnesota State University Moorhead,Moorhead,MN,Public,Plains,0.7728,1009.0,0.2564,0.4389,0.6706,0.615,10500.0,0.9546404058,55296.0,38300.0,Suburb: Midsize,Master's Colleges & Universities: Larger Programs,"full-time, selective, higher transfer-in","medium, primarily residential",15307.0,0.3996605744125326,medium,primarily residential,full-time,selective,higher transfer-in
North Central University,Minneapolis,MN,Private nonprofit,Plains,0.4789,1026.0,0.341,0.4819,0.6634,0.7791,11687.5,0.9552023121,55854.0,31000.0,City: Large,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","very small, highly residential",23628.0,0.7621935483870967,very small,highly residential,full-time,inclusive,lower transfer-in
University of Northwestern-St Paul,Saint Paul,MN,Private nonprofit,Plains,0.9618,1106.0,0.2171,0.6195,0.7922,0.5662,12951.0,0.9410413476,59629.5,37900.0,Suburb: Large,Master's Colleges & Universities: Small Programs,"full-time, inclusive, higher transfer-in","small, highly residential",32290.0,0.8519788918205805,small,highly residential,full-time,inclusive,higher transfer-in
Oak Hills Christian College,Bemidji,MN,Private nonprofit,Plains,0.6875,950.0,0.5315,0.3171,0.875,0.8182,13250.0,,34829.0,25500.0,Town: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, highly residential",22645.0,0.8880392156862745,very small,highly residential,full-time,inclusive,higher transfer-in
College of Saint Benedict,Saint Joseph,MN,Private nonprofit,Plains,0.8535,1166.0,0.1626,0.7769,0.875,0.6403,17602.0,0.9766297663,83328.0,45800.0,Suburb: Midsize,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",38727.0,0.8455676855895197,small,highly residential,full-time,selective,lower transfer-in
Saint Cloud State University,Saint Cloud,MN,Public,Plains,0.8699,1010.0,0.1988,0.504,0.7056,0.4757,8273.0,0.9359663133,56152.0,41700.0,City: Small,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","medium, primarily residential",15521.0,0.3722062350119904,medium,primarily residential,medium full-time,inclusive,higher transfer-in
Saint Johns University,Collegeville,MN,Private nonprofit,Plains,0.8371,1183.0,0.1316,0.8,0.898,0.5784,17545.0,0.970464135,89199.0,59200.0,Rural: Fringe,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",38016.0,0.6421621621621622,small,highly residential,full-time,selective,lower transfer-in
Saint Mary's University of Minnesota,Winona,MN,Private nonprofit,Plains,0.7244,1051.0,0.1563,0.5528,0.75,0.5269,11000.0,0.9433272395,59994.5,47000.0,Town: Distant,Doctoral/Professional Universities,"medium full-time, inclusive, lower transfer-in","medium, primarily residential",33000.0,0.7021276595744681,medium,primarily residential,medium full-time,inclusive,lower transfer-in
St Olaf College,Northfield,MN,Private nonprofit,Plains,0.5744,1287.0,0.1162,0.8734,0.9323,0.5591,18125.0,0.9833659491,84173.5,48000.0,Town: Distant,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, more selective, lower transfer-in","small, highly residential",44000.0,0.9166666666666666,small,highly residential,full-time,more selective,lower transfer-in
Crown College,Saint Bonifacius,MN,Private nonprofit,Plains,0.663,1044.0,0.349,0.547,0.7321,0.7505,15312.5,0.8788343558,43620.0,33000.0,Rural: Fringe,Master's Colleges & Universities: Medium Programs,"medium full-time, inclusive, higher transfer-in","very small, primarily residential",31114.0,0.9428484848484848,very small,primarily residential,medium full-time,inclusive,higher transfer-in
The College of Saint Scholastica,Duluth,MN,Private nonprofit,Plains,0.8482,1091.0,0.2384,0.7007,0.7648,0.6883,12500.0,0.9643483343,57796.0,50800.0,City: Small,Doctoral/Professional Universities,"full-time, selective, higher transfer-in","medium, primarily residential",36180.0,0.7122047244094488,medium,primarily residential,full-time,selective,higher transfer-in
University of St Thomas,Saint Paul,MN,Private nonprofit,Plains,0.8665,1165.0,0.1397,0.7187,0.8552,0.5529,14500.0,0.9686495177,82458.5,52400.0,City: Large,Doctoral/Professional Universities,"full-time, selective, lower transfer-in","medium, primarily residential",38212.0,0.729236641221374,medium,primarily residential,full-time,selective,lower transfer-in
St Catherine University,Saint Paul,MN,Private nonprofit,Plains,0.6718,1093.0,0.2997,0.5853,0.7769,0.7368,15750.0,0.9744220364,41729.0,46100.0,City: Large,Doctoral/Professional Universities,"medium full-time, selective, higher transfer-in","small, primarily residential",37565.0,0.8148590021691974,small,primarily residential,medium full-time,selective,higher transfer-in
Southwest Minnesota State University,Marshall,MN,Public,Plains,0.6504,1010.0,0.1228,0.4239,0.6911,0.2621,10000.0,0.943001443,51064.0,35900.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","small, primarily residential",16426.0,0.45754874651810584,small,primarily residential,medium full-time,inclusive,higher transfer-in
Winona State University,Winona,MN,Public,Plains,0.7095,1070.0,0.1769,0.52,0.7485,0.6061,11402.5,0.9587366276,72781.0,42300.0,Town: Distant,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, lower transfer-in","medium, primarily residential",17807.0,0.4209692671394799,medium,primarily residential,full-time,inclusive,lower transfer-in
Alcorn State University,Alcorn State,MS,Public,Southeast,0.4041,851.0,0.7418,0.3859,0.7029,0.8199,5625.0,0.9398173025,18525.0,31200.0,Rural: Remote,Master's Colleges & Universities: Small Programs,"full-time, inclusive, higher transfer-in","small, highly residential",15767.0,0.5053525641025641,small,highly residential,full-time,inclusive,higher transfer-in
Belhaven University,Jackson,MS,Private nonprofit,Southeast,0.4981,1027.0,0.5388,0.5176,0.7273,0.9958,9500.0,0.9463869464,28068.0,41100.0,City: Midsize,Doctoral/Professional Universities,higher part-time,"small, primarily residential",28890.0,0.7029197080291971,small,primarily residential,higher part-time,,
Blue Mountain Christian University,Blue Mountain,MS,Private nonprofit,Southeast,,,0.5724,0.4833,0.6667,0.6162,9125.0,0.8580246914,31556.0,32900.0,Rural: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, highly residential",14768.0,0.44887537993920973,very small,highly residential,full-time,inclusive,higher transfer-in
Delta State University,Cleveland,MS,Public,Southeast,0.2444,930.0,0.392,0.4495,0.6266,0.5115,6459.5,0.8802698145,20956.0,37300.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","small, highly residential",14250.0,0.3820375335120643,small,highly residential,full-time,inclusive,higher transfer-in
Jackson State University,Jackson,MS,Public,Southeast,0.4849,870.0,0.6871,0.4734,0.7581,0.7857,10750.0,0.9329181998,20060.0,31500.0,City: Midsize,Doctoral Universities: High Research Activity,"full-time, inclusive, higher transfer-in","medium, highly residential",16738.0,0.5313650793650794,medium,highly residential,full-time,inclusive,higher transfer-in
Millsaps College,Jackson,MS,Private nonprofit,Southeast,0.7359,1176.0,0.1876,0.6564,0.7778,0.5054,13000.0,0.9424778761,67105.5,47000.0,City: Midsize,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","very small, highly residential",36054.0,0.7671063829787234,very small,highly residential,full-time,selective,lower transfer-in
University of Mississippi,University,MS,Public,Southeast,0.7957,1065.0,0.2189,0.6045,0.8097,0.4035,10125.0,0.9047036195,37905.0,43600.0,Town: Remote,Doctoral Universities: Very High Research Activity,"full-time, selective, higher transfer-in","large, primarily residential",18438.0,0.4228899082568807,large,primarily residential,full-time,selective,higher transfer-in
Mississippi University for Women,Columbus,MS,Public,Southeast,0.4215,990.0,0.4788,0.396,0.682,0.5946,8500.0,0.8845265589,25370.0,36400.0,Town: Remote,Master's Colleges & Universities: Small Programs,"full-time, inclusive, higher transfer-in","small, primarily residential",12992.0,0.3569230769230769,small,primarily residential,full-time,inclusive,higher transfer-in
Mississippi Valley State University,Itta Bena,MS,Public,Southeast,0.2951,825.0,0.9276,0.3508,0.6121,0.9873,10739.0,0.9025,15724.5,26800.0,Town: Remote,Master's Colleges & Universities: Small Programs,"full-time, inclusive, higher transfer-in","small, highly residential",14340.0,0.5350746268656716,small,highly residential,full-time,inclusive,higher transfer-in
Mississippi College,Clinton,MS,Private nonprofit,Southeast,0.6198,1082.0,0.331,0.5176,0.6736,0.592,10776.0,0.9357798165,37015.0,39100.0,Suburb: Large,Doctoral/Professional Universities,"full-time, selective, higher transfer-in","medium, highly residential",22855.0,0.5845268542199489,medium,highly residential,full-time,selective,higher transfer-in
Mississippi State University,Mississippi State,MS,Public,Southeast,0.5687,1088.0,0.288,0.6136,0.8187,0.4687,10493.0,0.8917084209,38029.0,41700.0,Town: Remote,Doctoral Universities: Very High Research Activity,"full-time, selective, higher transfer-in","large, primarily residential",16797.0,0.4028057553956835,large,primarily residential,full-time,selective,higher transfer-in
Rust College,Holly Springs,MS,Private nonprofit,Southeast,0.5837,780.0,0.7146,0.229,0.4824,0.7653,5500.0,0.90747782,17805.0,24800.0,Town: Distant,Baccalaureate Colleges: Arts & Sciences Focus,higher part-time,"very small, primarily nonresidential",13595.0,0.5481854838709678,very small,primarily nonresidential,higher part-time,,
University of Southern Mississippi,Hattiesburg,MS,Public,Southeast,0.5618,991.0,0.3945,0.4453,0.7368,0.6001,10500.0,0.9149185859,26442.0,38200.0,City: Small,Doctoral Universities: Very High Research Activity,"full-time, inclusive, higher transfer-in","large, primarily residential",15826.0,0.41429319371727746,large,primarily residential,full-time,inclusive,higher transfer-in
Tougaloo College,Tougaloo,MS,Private nonprofit,Southeast,0.3291,1179.0,0.8496,0.4163,0.7426,0.8794,15625.0,0.9152276295,19718.0,31400.0,City: Midsize,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, inclusive, higher transfer-in","very small, highly residential",19554.0,0.6227388535031847,very small,highly residential,full-time,inclusive,higher transfer-in
William Carey University,Hattiesburg,MS,Private nonprofit,Southeast,0.9269,1105.0,0.5378,0.481,0.7385,0.8831,8500.0,0.8301158301,22583.0,35800.0,City: Small,Doctoral/Professional Universities,"full-time, selective, higher transfer-in","medium, primarily residential",22392.0,0.6254748603351955,medium,primarily residential,full-time,selective,higher transfer-in
Avila University,Kansas City,MO,Private nonprofit,Plains,0.4305,1050.0,0.324,0.4408,0.7104,0.8195,12500.0,0.9797843666,43703.5,41900.0,City: Large,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, higher transfer-in","small, primarily residential",27511.0,0.6565871121718377,small,primarily residential,full-time,inclusive,higher transfer-in
Baptist Bible College,Springfield,MO,Private nonprofit,Plains,,,0.4776,0.2759,0.7209,0.6878,10000.0,0.892,40001.5,29900.0,City: Midsize,Special Focus Four-Year: Faith-Related Institutions,"full-time, inclusive, higher transfer-in","very small, highly residential",22598.0,0.7557859531772575,very small,highly residential,full-time,inclusive,higher transfer-in
Cox College,Springfield,MO,Private nonprofit,Plains,0.8613,,0.4362,1.0,0.9545,0.8189,9750.0,0.9372469636,28707.0,44900.0,City: Midsize,Special Focus Four-Year: Other Health Professions Schools,higher part-time,"very small, primarily nonresidential",23033.0,0.5129844097995546,very small,primarily nonresidential,higher part-time,,
Calvary University,Kansas City,MO,Private nonprofit,Plains,0.8043,1010.0,0.395,0.3171,0.5,0.4454,7918.0,0.7577639752,34612.0,28200.0,City: Large,Baccalaureate Colleges: Diverse Fields,"medium full-time, inclusive, higher transfer-in","very small, primarily residential",16262.0,0.5766666666666667,very small,primarily residential,medium full-time,inclusive,higher transfer-in
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,Private nonprofit,Plains,0.6667,1010.0,0.3637,0.4036,0.65,0.7197,9517.0,0.86875,40507.5,34800.0,Town: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","small, highly residential",27930.0,0.8025862068965517,small,highly residential,full-time,inclusive,higher transfer-in
University of Central Missouri,Warrensburg,MO,Public,Plains,0.618,970.0,0.2594,0.4797,0.7264,0.5606,9644.0,0.9348940914,48712.0,37700.0,Town: Distant,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, highly residential",16105.0,0.42718832891246683,medium,highly residential,full-time,inclusive,higher transfer-in
Columbia College,Columbia,MO,Private nonprofit,Plains,0.4714,1077.0,0.2995,0.4184,0.5942,0.4726,4750.0,0.856097561,25743.5,37500.0,City: Midsize,Master's Colleges & Universities: Larger Programs,higher part-time,"medium, primarily nonresidential",26830.0,0.7154666666666667,medium,primarily nonresidential,higher part-time,,
Culver-Stockton College,Canton,MO,Private nonprofit,Plains,0.6033,1018.0,0.342,0.4886,0.5903,0.7235,10250.0,0.9662698413,47759.0,38400.0,Rural: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","very small, highly residential",32850.0,0.85546875,very small,highly residential,full-time,inclusive,lower transfer-in
Drury University,Springfield,MO,Private nonprofit,Plains,0.7665,1105.0,0.4636,0.5907,0.7355,0.839,8324.5,0.8335832084,26000.0,34500.0,City: Midsize,Master's Colleges & Universities: Small Programs,"full-time, selective, lower transfer-in","small, highly residential",26728.0,0.7747246376811594,small,highly residential,full-time,selective,lower transfer-in
Evangel University,Springfield,MO,Private nonprofit,Plains,0.7369,1050.0,0.2526,0.4506,0.7012,0.6935,12500.0,0.95,49202.5,34700.0,City: Midsize,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, lower transfer-in","small, highly residential",22800.0,0.6570605187319885,small,highly residential,full-time,inclusive,lower transfer-in
Fontbonne University,Saint Louis,MO,Private nonprofit,Plains,0.8549,1050.0,0.3263,0.5155,0.582,0.7433,15923.0,0.973172988,38013.0,43800.0,Suburb: Large,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, higher transfer-in","very small, primarily residential",29803.0,0.6804337899543379,very small,primarily residential,full-time,inclusive,higher transfer-in
Hannibal-LaGrange University,Hannibal,MO,Private nonprofit,Plains,0.87,1090.0,0.3027,0.4379,0.54,0.5364,10794.5,0.926686217,42163.0,33700.0,Town: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, selective, higher transfer-in","very small, highly residential",22925.0,0.68026706231454,very small,highly residential,full-time,selective,higher transfer-in
Harris-Stowe State University,Saint Louis,MO,Public,Plains,,,0.8101,0.2075,0.4512,0.911,4500.0,0.8494208494,17869.5,31200.0,City: Large,Baccalaureate Colleges: Diverse Fields,"medium full-time, inclusive, higher transfer-in","small, primarily residential",13317.0,0.4268269230769231,small,primarily residential,medium full-time,inclusive,higher transfer-in
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,Private nonprofit,Plains,,,0.1259,0.0,,0.5658,12500.0,,44524.0,56700.0,City: Large,Special Focus Four-Year: Other Health Professions Schools,"full-time, inclusive, higher transfer-in","very small, primarily nonresidential",,,very small,primarily nonresidential,full-time,inclusive,higher transfer-in
Kansas City Art Institute,Kansas City,MO,Private nonprofit,Plains,,,0.0617,0.5446,0.7222,0.1865,18000.0,0.9664948454,51599.0,25400.0,City: Large,"Special Focus Four-Year: Arts, Music & Design Schools","full-time, selective, higher transfer-in","very small, primarily residential",37213.0,1.4650787401574803,very small,primarily residential,full-time,selective,higher transfer-in
Lincoln University,Jefferson City,MO,Public,Plains,,,0.4736,0.2185,0.5201,0.6729,7500.0,0.9113247863,24904.5,32400.0,City: Small,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","small, highly residential",13498.0,0.41660493827160494,small,highly residential,full-time,inclusive,higher transfer-in
Lindenwood University,Saint Charles,MO,Private nonprofit,Plains,0.6332,1031.0,0.2527,0.4353,0.7128,0.6395,9500.0,0.9662356322,46352.0,41500.0,City: Small,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, highly residential",35240.0,0.8491566265060241,medium,highly residential,full-time,inclusive,higher transfer-in
Logan University,Chesterfield,MO,Private nonprofit,Plains,,,0.1486,,,0.6757,3750.0,,19143.0,45900.0,Suburb: Large,Special Focus Four-Year: Other Health Professions Schools,higher part-time,"small, primarily nonresidential",,,small,primarily nonresidential,higher part-time,,
Maryville University of Saint Louis,Saint Louis,MO,Private nonprofit,Plains,0.6544,1120.0,0.2239,0.6101,0.8176,0.6132,13000.0,0.9630127774,50760.0,48300.0,Suburb: Large,Doctoral/Professional Universities,higher part-time,"medium, primarily nonresidential",30531.0,0.632111801242236,medium,primarily nonresidential,higher part-time,,
Missouri Baptist University,Saint Louis,MO,Private nonprofit,Plains,0.5871,1005.0,0.128,0.454,0.6954,0.2729,8495.5,0.9224062772,43678.0,35300.0,Suburb: Large,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","small, primarily residential",34151.0,0.9674504249291784,small,primarily residential,full-time,inclusive,higher transfer-in
Missouri Southern State University,Joplin,MO,Public,Plains,0.9458,990.0,0.4041,0.3275,0.6637,0.549,6125.0,0.8337260182,29801.0,33600.0,City: Small,Master's Colleges & Universities: Small Programs,"medium full-time, inclusive, higher transfer-in","medium, primarily nonresidential",12887.0,0.38354166666666667,medium,primarily nonresidential,medium full-time,inclusive,higher transfer-in
Missouri Valley College,Marshall,MO,Private nonprofit,Plains,0.5303,901.0,0.3961,0.3308,0.4756,0.6497,8000.0,0.9539711191,36248.5,34200.0,Town: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","small, highly residential",25483.0,0.7451169590643275,small,highly residential,full-time,inclusive,higher transfer-in
Missouri Western State University,Saint Joseph,MO,Public,Plains,,,0.3279,0.2817,0.6635,0.5107,7125.0,0.8713488677,33061.0,35200.0,City: Small,Master's Colleges & Universities: Small Programs,"full-time, inclusive, higher transfer-in","medium, primarily residential",15612.0,0.4435227272727273,medium,primarily residential,full-time,inclusive,higher transfer-in
University of Missouri-Columbia,Columbia,MO,Public,Plains,0.8301,1167.0,0.1489,0.6795,0.852,0.4668,11000.0,0.9512068787,71706.0,46300.0,City: Midsize,Doctoral Universities: Very High Research Activity,"full-time, selective, lower transfer-in","large, primarily residential",20477.0,0.442267818574514,large,primarily residential,full-time,selective,lower transfer-in
University of Missouri-Kansas City,Kansas City,MO,Public,Plains,0.6219,1130.0,0.2328,0.4446,0.7402,0.4638,10500.0,0.9232262239,36546.0,44600.0,City: Large,Doctoral Universities: High Research Activity,"full-time, selective, higher transfer-in","medium, primarily nonresidential",23725.0,0.5319506726457399,medium,primarily nonresidential,full-time,selective,higher transfer-in
Missouri University of Science and Technology,Rolla,MO,Public,Plains,0.9275,1265.0,0.1973,0.6333,0.8757,0.5522,10750.0,0.9551056338,68189.5,63900.0,Town: Remote,Doctoral Universities: High Research Activity,"full-time, more selective, lower transfer-in","medium, primarily residential",18769.0,0.2937245696400626,medium,primarily residential,full-time,more selective,lower transfer-in
University of Missouri-St Louis,Saint Louis,MO,Public,Plains,0.7903,1070.0,0.2194,0.4116,0.6941,0.4131,11000.0,0.9329404593,30334.0,42600.0,Suburb: Large,Doctoral Universities: High Research Activity,"medium full-time, selective, higher transfer-in","medium, primarily nonresidential",22499.0,0.5281455399061032,medium,primarily nonresidential,medium full-time,selective,higher transfer-in
Truman State University,Kirksville,MO,Public,Plains,0.7233,1242.0,0.1534,0.7084,0.8426,0.2726,12500.0,0.9153605016,72322.5,45200.0,Town: Remote,Master's Colleges & Universities: Medium Programs,"full-time, more selective, lower transfer-in","medium, highly residential",17782.0,0.3934070796460177,medium,highly residential,full-time,more selective,lower transfer-in
Northwest Missouri State University,Maryville,MO,Public,Plains,0.6982,1050.0,0.2615,0.5255,0.7176,0.5763,8640.0,0.9297297297,57495.0,39400.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, lower transfer-in","medium, highly residential",15645.0,0.3970812182741117,medium,highly residential,full-time,inclusive,lower transfer-in
Ozark Christian College,Joplin,MO,Private nonprofit,Plains,,,0.3578,0.418,0.68,0.518,7488.5,0.8333333333,43676.0,30300.0,City: Small,Special Focus Four-Year: Faith-Related Institutions,"medium full-time, inclusive, higher transfer-in","very small, primarily residential",16395.0,0.5410891089108911,very small,primarily residential,medium full-time,inclusive,higher transfer-in
College of the Ozarks,Point Lookout,MO,Private nonprofit,Plains,0.0866,1050.0,0.5577,0.5984,0.7912,0.0,,,32786.0,30700.0,Town: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, selective, lower transfer-in","small, highly residential",24779.0,0.8071335504885994,small,highly residential,full-time,selective,lower transfer-in
Park University,Parkville,MO,Private nonprofit,Plains,0.7022,1070.0,0.1537,0.3854,0.6984,0.2918,5500.0,0.8117825428,29978.0,48300.0,Suburb: Large,Master's Colleges & Universities: Larger Programs,higher part-time,"medium, primarily nonresidential",17437.0,0.3610144927536232,medium,primarily nonresidential,higher part-time,,
Stevens-The Institute of Business & Arts,Saint Louis,MO,Private for-profit,Plains,0.6883,,0.5714,0.7368,0.875,0.8626,17333.0,,17910.0,28300.0,City: Large,Baccalaureate Colleges: Diverse Fields,higher part-time,"very small, primarily nonresidential",23225.0,0.8206713780918727,very small,primarily nonresidential,higher part-time,,
