INSTNM,CITY,STABBR,CONTROL,REGION,ADM_RATE,SAT_AVG,PCTPELL,C150_4,RET_FT4,PCTFLOAN,DEBT_MDN,LOAN_EVER,MD_FAMINC,MD_EARN,LOCALE,CCBASIC,CCUGPROF,CCSIZSET,COSTT4,cost_to_earnings,SIZE,SETTING,FTIME,SEL,TRNS
Emporia State University,Emporia,KS,Public,Plains,0.8728,1030.0,0.3023,0.4098,0.6855,0.5788,7500.0,0.9166666667,44218.5,37400.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, primarily residential",14650.0,0.3917112299465241,medium,primarily residential,full-time,inclusive,higher transfer-in
Fort Hays State University,Hays,KS,Public,Plains,0.9231,990.0,0.2034,0.5052,0.681,0.3917,7500.0,0.9066247858,40795.0,39100.0,Town: Remote,Master's Colleges & Universities: Larger Programs,higher part-time,"medium, primarily nonresidential",13037.0,0.33342710997442454,medium,primarily nonresidential,higher part-time,,
Barclay College,Haviland,KS,Private nonprofit,Plains,0.4872,955.0,0.5547,0.3103,0.7059,0.7153,8000.0,0.9275362319,32396.0,30700.0,Rural: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, more selective, higher transfer-in","very small, highly residential",22300.0,0.7263843648208469,very small,highly residential,full-time,more selective,higher transfer-in
Friends University,Wichita,KS,Private nonprofit,Plains,0.6567,1033.0,0.3257,0.3532,0.5764,0.7386,12770.0,0.9706275033,42689.5,44500.0,City: Large,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","small, primarily residential",28337.0,0.6367865168539326,small,primarily residential,full-time,inclusive,higher transfer-in
Haskell Indian Nations University,Lawrence,KS,Public,Plains,0.4545,845.0,0.5938,0.3048,0.5093,0.0,,,15865.0,25900.0,City: Small,Tribal Colleges,"full-time, selective, higher transfer-in","very small, highly residential",7760.0,0.2996138996138996,very small,highly residential,full-time,selective,higher transfer-in
University of Kansas,Lawrence,KS,Public,Plains,0.9175,1125.0,0.1399,0.6077,0.7778,0.4037,9000.0,0.9436530145,64671.0,45100.0,City: Small,Doctoral Universities: Very High Research Activity,"full-time, selective, lower transfer-in","large, primarily residential",18482.0,0.40980044345898003,large,primarily residential,full-time,selective,lower transfer-in
Newman University,Wichita,KS,Private nonprofit,Plains,0.4163,1049.0,0.1824,0.44,0.713,0.378,12250.0,0.9239842726,40678.0,43200.0,City: Large,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, higher transfer-in","small, primarily residential",29036.0,0.6721296296296296,small,primarily residential,full-time,inclusive,higher transfer-in
Kansas State University,Manhattan,KS,Public,Plains,0.9845,,0.2001,0.6301,0.7899,0.5219,11000.0,0.9424062584,60667.5,44100.0,City: Small,Doctoral Universities: Very High Research Activity,"full-time, inclusive, higher transfer-in","large, primarily residential",17176.0,0.3894784580498866,large,primarily residential,full-time,inclusive,higher transfer-in
Kansas Wesleyan University,Salina,KS,Private nonprofit,Plains,0.554,1027.0,0.3435,0.3562,0.558,0.7946,11164.0,0.9796610169,51457.5,40700.0,Town: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, selective, higher transfer-in","very small, highly residential",29600.0,0.7272727272727273,very small,highly residential,full-time,selective,higher transfer-in
Manhattan Christian College,Manhattan,KS,Private nonprofit,Plains,,,0.3489,0.52,0.625,0.7363,10500.0,0.9245283019,49026.5,31300.0,City: Small,Special Focus Four-Year: Faith-Related Institutions,"medium full-time, inclusive, lower transfer-in","very small, primarily residential",22496.0,0.7187220447284345,very small,primarily residential,medium full-time,inclusive,lower transfer-in
McPherson College,McPherson,KS,Private nonprofit,Plains,0.8671,1010.0,0.3443,0.4545,0.6741,0.7668,12250.0,0.9598997494,56516.0,34500.0,Town: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, more selective, higher transfer-in","very small, highly residential",28410.0,0.8234782608695652,very small,highly residential,full-time,more selective,higher transfer-in
MidAmerica Nazarene University,Olathe,KS,Private nonprofit,Plains,0.7328,1059.0,0.2598,0.5731,0.7696,0.6943,11500.0,0.9771309771,53633.5,39700.0,Suburb: Large,Master's Colleges & Universities: Medium Programs,"full-time, selective, higher transfer-in","small, highly residential",27766.0,0.6993954659949622,small,highly residential,full-time,selective,higher transfer-in
